Name,Position,Age,OVR,Speed,Fatigue,PassAccuracy,Acceleration,Strength,Reactions
Jonatan Gómez,CM,34,72,66,63,74,67,57,72
Valentín Gómez,CB,21,72,80,91,70,78,65,70
Elías Gómez,LB,30,72,84,84,70,81,78,68
Unai Gómez,CAM,21,72,67,62,73,66,68,72
Paulo Bernardo,CM,22,72,78,80,75,68,75,74
Luis González,LM,33,72,82,53,70,76,62,63
Sergio,CB,32,72,55,53,70,45,73,64
Lukas Görtler,CM,30,72,70,89,75,67,75,72
Dimitrios Goutas,CB,30,72,53,77,61,52,83,68
Stian Gregersen,CB,29,72,82,78,61,69,90,68
Julian Gressel,RM,30,72,67,85,68,65,73,69
Matt Grimes,CM,29,72,61,92,76,57,60,73
Carlos Gruezo,CDM,29,72,50,76,72,68,69,72
Jóhann Berg Guðmundsson,RM,33,72,61,67,76,66,67,72
Morgan Guilavogui,ST,26,72,81,69,69,78,74,72
Serdar Gürler,LM,33,72,81,71,69,83,59,69
Yeison Guzmán,CAM,26,72,73,66,73,83,42,69
Hayden Hackney,CDM,22,72,70,80,74,65,64,73
Pantelis Hatzidiakos,CB,27,72,66,67,72,68,72,70
Kortney Hause,CB,29,72,53,34,66,50,86,67
Silvan Hefti,RB,26,72,79,88,68,74,79,66
Jorrit Hendrix,CDM,29,72,68,74,72,66,77,67
Christophe Hérelle,CB,32,72,58,67,72,41,76,69
Javi Hernández,LB,26,72,70,77,68,72,72,70
Andrés Herrera,RB,25,72,87,69,65,83,69,69
Ki-Jana Hoever,RB,22,72,71,82,68,75,66,67
Fabian Holland,CDM,34,72,53,75,71,74,66,72
Benedict Hollerbach,ST,23,72,81,81,68,87,69,69
Martin Hongla,CM,26,72,73,83,73,75,76,65
Sascha Horvath,CM,28,72,77,79,75,87,52,69
Branimir Hrgota,CAM,31,72,70,82,70,77,67,71
Rodrigo Huescas,RB,20,72,85,80,75,84,42,65
Hwang Ui Jo,ST,32,72,77,75,65,76,71,70
Jesús Imaz,CAM,33,72,80,81,71,81,63,67
Sverrir Ingi Ingason,CB,31,72,54,67,66,50,78,71
Juan Manuel Insaurralde,CB,39,72,40,70,66,51,83,66
Juan Iturbe,RM,31,72,89,66,68,89,34,64
Tomoki Iwata,CDM,27,72,77,77,75,73,78,72
Paul Jaeckel,CB,26,72,63,54,69,66,76,68
Václav Jemelka,CB,29,72,68,71,69,64,80,66
Jeong Woo Yeong,CAM,24,72,78,79,73,78,54,69
Erik Jirka,RM,26,72,86,71,69,83,67,69
Lasse Berg Johnsen,CDM,25,72,65,91,68,69,78,71
Michael Johnston,LW,25,72,83,65,67,88,46,70
Alfie Jones,CB,26,72,61,76,71,56,79,68
DeJuan Jones,LB,27,72,84,77,68,80,76,68
Isaiah Jones,RM,25,72,86,79,69,84,57,70
Zanka,CB,34,72,49,57,68,44,83,67
Jhojan Julio,LM,26,72,81,82,70,82,65,73
Tino Kadewere,ST,28,72,73,63,70,72,71,71
Abdelkahar Kadri,CAM,24,72,70,57,74,74,60,70
Gédéon Kalulu,RB,27,72,82,74,68,79,79,69
Wilfried Kanga,ST,26,72,74,80,62,68,91,69
Yann Karamoh,LM,26,72,77,62,69,78,60,68
David Moberg Karlsson,CAM,30,72,90,62,68,84,59,67
Yassine Kechta,CM,22,72,55,79,75,62,53,70
Olivier Kemen,CM,28,72,80,84,73,74,82,75
Marc-Oliver Kempf,CB,29,72,72,73,64,71,81,67
Jonjoe Kenny,RB,27,72,67,84,68,72,64,67
Frankie Kent,CB,28,72,63,82,69,60,80,69
Wahbi Khazri,ST,33,72,63,66,74,63,70,73
Abdukodir Khusanov,CB,20,72,79,50,62,62,81,69
Semih Kılıçsoy,ST,19,72,79,66,66,77,72,67
Joshua Kitolano,CM,23,72,73,87,75,86,70,74
Sean Klaiber,RB,30,72,81,75,73,77,80,69
Christoph Klarer,CB,24,72,73,71,68,59,80,69
Kenan Kodro,ST,31,72,58,64,66,49,77,75
Mats Köhlert,LB,26,72,79,80,72,79,60,68
Ismaël Koné,CM,22,72,81,75,74,74,69,72
Jan Kopic,RM,34,72,76,65,67,77,58,69
Giannis Kotsiras,RB,31,72,78,77,70,76,70,69
Jean Evrard Kouassi,LM,29,72,90,75,62,90,73,75
Damir Kreilach,ST,35,72,37,71,76,47,85,79
Filip Krovinović,CAM,29,72,65,67,78,64,56,65
Luca Langoni,RM,22,72,90,90,66,90,58,71
Sam Larsson,LM,31,72,79,71,72,79,58,70
Tobias Lauritsen,ST,27,72,57,72,59,63,85,71
Dimitri Lavalée,CB,27,72,73,60,69,54,76,69
Tom Lawrence,CAM,30,72,72,73,72,75,66,66
Amor Layouni,RW,31,72,93,78,64,90,80,67
Lee Seung Woo,CAM,26,72,78,63,69,87,58,70
Maxim Leitsch,CB,26,72,75,56,69,77,72,74
Darragh Lenihan,CB,30,72,68,72,68,61,77,64
Alan Lescano,CM,22,72,65,72,74,66,67,70
Timo Letschert,CB,31,72,60,71,67,53,88,63
Martin Linnes,RB,32,72,85,86,66,83,64,70
Marin Ljubičić,ST,22,72,79,75,69,74,72,72
Robert Ljubičić,CM,25,72,78,87,74,75,65,74
Raúl Loaiza,CDM,30,72,54,85,74,58,73,70
Roberto López,CAM,24,72,55,82,77,55,65,66
Imrân Louza,CM,25,72,65,73,75,56,57,69
Max Lowe,LB,27,72,78,69,67,78,66,69
Lorenzo Lucca,ST,24,72,68,63,64,43,91,68
Abel Luciatti,CB,31,72,62,75,61,64,83,70
Nélson Monte,CB,29,72,55,82,67,53,78,72
Tomás Ribeiro,CB,25,72,66,72,63,64,75,72
José Machín,CM,28,72,54,70,75,54,60,71
Álvaro Madrid,CM,29,72,68,77,76,68,70,65
Nicolas Madsen,CM,24,72,55,73,75,61,71,68
Soungoutou Magassa,CB,20,72,64,59,73,51,77,68
Frank Magri,ST,25,72,77,72,70,78,69,65
Linton Maina,LM,25,72,92,78,66,89,47,69
Gaius Makouta,CDM,27,72,68,86,74,65,80,70
Youssef Maleh,CM,26,72,57,75,77,66,58,69
Facundo Mallo,CB,29,72,59,73,59,59,81,67
Emanuel Mammana,CB,28,72,75,67,73,77,75,72
Wilson Manafá,RB,30,72,82,74,68,87,61,63
Million Manhoef,RM,22,72,84,80,65,87,73,69
Oscar Taty Maritu,ST,25,72,89,74,53,81,74,74
Jonas Martin,CDM,34,72,44,59,74,43,61,74
Aarón,LB,27,72,41,74,74,66,61,71
Mauricio Martínez,CDM,31,72,54,68,75,52,85,70
Pablo Martinez,CB,35,72,64,72,68,61,80,73
David Martínez,CB,26,72,77,59,72,72,79,69
Josef Martínez,ST,31,72,79,50,67,81,71,72
Adam Masina,CB,30,72,68,33,69,58,70,68
Lukáš Masopust,RM,31,72,71,72,71,73,75,70
Eliot Matazo,CDM,22,72,64,71,75,72,80,68
Christian Mawissa,CB,19,72,64,69,69,66,74,70
Youssef Maziz,CAM,26,72,57,71,73,67,57,70
Pasquale Mazzocchi,RM,29,72,76,69,73,75,68,64
Riley McGree,LM,25,72,76,78,71,81,74,71
Kenny McLean,CDM,32,72,59,84,73,74,69,73
Paddy McNair,CB,29,72,62,76,68,62,75,71
Jonas Meffert,CDM,30,72,63,77,73,53,75,65
David Mella,LM,19,72,92,65,68,89,51,71
Eugenio Mena,LB,36,72,67,65,72,69,67,71
Kevin Méndez,RM,28,72,78,82,72,76,72,62
Edgar Méndez,RM,34,72,73,69,67,74,81,64
Benjamin Mendy,LB,30,72,71,38,77,66,77,67
Levent Mercan,LB,23,72,79,64,73,81,66,62
Bautista Merlini,CAM,29,72,81,90,70,89,34,68
Fernando Meza,RB,34,72,66,70,72,68,70,69
Omenuke Mfulu,CDM,30,72,76,79,71,75,82,69
Giannis Michailidis,CB,24,72,67,64,69,68,70,71
Valentin Mihăilă,LM,24,72,92,83,68,93,52,63
Lewis Miley,CM,18,72,63,77,77,68,68,68
Liam Millar,LM,24,72,84,68,64,87,59,66
Samy Mmaee,CB,28,72,63,64,65,63,78,63
Tobias Mølgaard,CB,28,72,82,83,67,84,83,73
Aaron Molinas,CAM,24,72,67,75,73,80,58,71
Joël Monteiro,LM,25,72,82,77,69,80,83,68
Kieffer Moore,ST,32,72,71,62,58,52,90,71
Leonardo Morales,CB,33,72,72,83,65,68,75,71
Ilaix Moriba,CM,21,72,69,72,73,67,61,70
Patrick Mortensen,ST,35,72,55,85,70,59,88,75
Tyler Morton,CDM,21,72,61,77,76,67,59,72
Jhon Mosquera,LM,34,72,74,68,71,72,74,71
Franco Moyano,CDM,27,72,69,75,80,67,64,68
Paul-José Mpoku,CM,32,72,71,74,73,78,73,74
Kerim Mrabti,LW,30,72,77,81,72,83,71,67
Miro Muheim,LB,26,72,72,83,72,77,68,68
Junior Mwanga,CDM,21,72,68,76,73,67,71,70
Juan Ignacio Nardoni,CM,22,72,73,81,76,76,82,68
Ximo Navarro,RB,34,72,73,83,69,69,69,69
Robert Navarro,LM,22,72,71,67,70,77,63,71
Umut Nayir,ST,31,72,66,72,60,59,86,71
Loïc Négo,RM,33,72,79,68,70,79,65,74
Phil Neumann,CB,27,72,91,82,67,83,81,62
Nathan Ngoumou,RM,24,72,89,74,67,83,67,69
Cheikh Niasse,CDM,24,72,60,74,73,63,78,69
Joakim Nilsson,CB,30,72,63,59,67,53,76,68
Stanley Nsoki,CB,25,72,77,75,67,70,79,63
Kenedy,LM,28,72,70,64,70,75,63,70
Marcelino Núñez,CM,24,72,63,79,74,63,63,73
Antonio Nusa,LM,19,72,87,59,65,92,59,60
Bram Nuytinck,CB,34,72,46,58,65,46,80,68
Lewis O'Brien,CM,25,72,63,90,73,72,60,75
Brian Ocampo,LM,25,72,79,68,68,85,59,61
Martín Ojeda,CAM,25,72,83,78,70,83,61,71
Caleb Okoli,CB,23,72,40,68,65,47,90,69
Victor Olatunji,ST,25,72,81,63,61,73,86,72
Anderson Oliveira,LM,26,72,87,73,65,82,48,72
Abdülkadir Ömür,CAM,25,72,81,76,72,83,47,68
Jean Onana,CM,24,72,54,77,74,53,87,67
Frank Onyeka,CM,26,72,85,76,73,68,74,73
Joao Ortiz,CDM,28,72,73,90,71,71,74,63
Gabriel Osho,CB,26,72,71,70,65,68,78,70
Yordan Osorio,CB,30,72,48,76,62,55,85,68
Jonathan Osorio,CM,32,72,53,78,79,63,62,72
Leo Østigård,CB,24,72,64,65,62,63,82,71
Rémi Oudin,RW,27,72,63,72,73,64,67,74
Berkay Özcan,CM,26,72,68,80,75,72,69,70
Berat Özdemir,CM,26,72,68,85,73,74,72,69
Rômulo,RW,28,72,83,86,75,77,62,65
Kendry Páez,CAM,17,72,81,65,74,77,49,66
Paik Seung Ho,CM,27,72,64,89,73,72,73,67
Tiago Palacios,RM,23,72,75,75,72,79,36,64
Carlos Palacios,LW,24,72,75,70,74,81,72,60
Renato Veiga,CDM,21,72,80,68,72,65,72,70
Antonio Palumbo,CM,28,72,61,84,76,74,79,70
Park Jin Seob,CB,28,72,70,84,64,67,86,64
Keaton Parks,CDM,27,72,32,72,76,37,76,69
Lucas Passerini,ST,30,72,38,54,58,51,91,69
Dimitrios Pelkas,CAM,30,72,73,70,73,76,55,65
Facundo Pellistri,RM,22,72,77,74,69,83,56,73
Sergio Peña,CM,28,72,50,72,78,56,71,66
Alexandre Penetra,CB,23,72,68,75,62,65,73,70
Gabriel Pereira,CB,24,72,60,74,58,58,85,73
Sebastián Pérez,CDM,31,72,68,79,71,66,68,68
Marco Pérez,ST,33,72,79,70,60,77,86,70
Baldomero Perlaza,CDM,32,72,58,85,68,55,88,76
Gaëtan Perrin,LM,28,72,79,81,72,82,60,64
Jakub Pešek,RW,31,72,86,65,68,87,38,65
Patric Pfeiffer,CB,25,72,78,52,64,63,90,69
Pablo Piatti,LM,35,72,69,55,67,72,35,69
Marvin Pieringer,ST,24,72,74,77,68,63,82,72
Ronaël Pierre-Gabriel,RB,26,72,76,74,66,71,75,70
Lucas Pires,LB,23,72,76,74,71,77,64,70
Lukas Podolski,CAM,39,72,54,48,74,43,76,73
Diego Polenta,CB,32,72,65,70,68,68,92,63
Andy Polo,RM,29,72,89,74,70,90,58,70
Juan Camilo Portilla,CDM,26,72,68,83,75,70,71,65
Juan Portillo,LB,24,72,77,82,71,82,75,63
Matteo Prati,CDM,20,72,59,74,75,59,66,70
Alan Pulido,ST,33,72,74,65,71,71,76,72
Pulido,CB,33,72,32,77,70,52,82,69
Facundo Quignon,CDM,31,72,51,79,75,69,69,66
José Quintero,RB,34,72,84,71,73,82,71,67
Uroš Račić,CM,26,72,60,72,76,53,85,72
Nemanja Radoja,CM,31,72,49,69,79,52,77,69
Gastón Ramírez,CAM,33,72,55,43,74,68,68,67
Adrián Ramos,ST,38,72,67,67,66,65,73,70
Filippo Ranocchia,CM,23,72,72,78,76,77,72,68
Youri Regeer,RB,21,72,75,76,75,72,63,69
Chadi Riad,CB,21,72,61,59,75,63,80,67
Kiko Bondoso,LW,28,72,76,70,69,77,47,70
Omar Richards,LB,26,72,63,61,69,79,48,69
Stefan Ristovski,RB,32,72,85,75,68,73,75,66
Miles Robinson,CB,27,72,81,78,72,83,79,74
Luis Miguel Rodríguez,ST,39,72,57,60,71,60,62,73
Ángel,ST,37,72,74,60,67,77,68,72
Felipe Román,RB,28,72,82,80,72,83,73,76
Luka Romero,RM,19,72,76,69,70,82,45,66
Philippe Rommens,CDM,27,72,44,79,80,68,63,69
Facundo Roncaglia,CB,37,72,59,65,63,54,75,72
Fabricio,ST,23,72,83,74,70,78,72,67
Lazaros Rota,RB,27,72,80,80,68,76,65,65
Tom Rothe,LB,19,72,71,75,69,66,79,70
Joe Rothwell,CM,29,72,78,76,75,72,65,71
Albion Rrahmani,ST,24,72,73,70,67,71,74,68
Diego Rubio,ST,31,72,68,74,68,67,69,71
Johnny Russell,RW,34,72,74,76,68,76,76,69
Matěj Ryneš,LB,23,72,78,74,72,75,75,70
Falaye Sacko,RB,29,72,87,88,68,87,66,63
Mujaid,CB,24,72,71,75,70,53,81,72
Bartosz Salamon,CB,33,72,46,66,68,46,93,67
Maximiliano Salas,ST,26,72,71,69,70,74,77,67
Alan Saldivia,CB,22,72,76,78,65,70,80,69
Manolis Saliakas,RB,28,72,62,80,70,77,61,71
Dániel Sallói,LW,28,72,75,79,70,76,66,73
Mbwana Ally Samatta,ST,31,72,77,70,67,73,75,69
Matisse Samoise,RM,22,72,78,90,70,74,63,70
Mario Sampirisi,CB,31,72,74,78,66,61,79,70
Borja Sánchez,LM,28,72,74,68,70,77,73,70
Juanlu Sánchez,RB,21,72,65,75,69,65,55,71
Philipp Sander,CM,26,72,74,76,76,72,66,70
Ivo Rodrigues,CM,29,72,68,72,72,76,61,76
Killian Sardella,RB,22,72,73,71,71,75,58,69
Manprit Sarkaria,ST,28,72,81,79,71,84,73,67
Kevin Schade,LW,22,72,94,58,66,93,64,65
Andreas Schjelderup,LW,20,72,73,66,68,83,50,69
Niklas Schmidt,CM,26,72,65,60,75,55,78,70
Lasse Schøne,CM,38,72,32,58,77,36,59,65
Sebastian Schonlau,CB,30,72,61,71,68,62,74,69
Siebe Schrijvers,CM,28,72,69,71,73,69,57,71
Richard Schunke,CB,32,72,60,74,70,58,86,73
Ole Kristian Selnæs,CM,30,72,61,79,73,64,78,75
Jaime Seoane,CM,27,72,76,78,71,76,71,69
Jean Michaël Seri,CDM,33,72,50,73,78,64,58,71
Volodymyr Shepelev,CDM,27,72,60,68,76,69,57,74
Eldor Shomurodov,ST,29,72,72,63,68,80,69,65
Djibril Sidibé,RB,32,72,68,68,69,64,75,75
Óscar Sielva,CM,33,72,63,82,75,61,77,70
Alejandro Silva,CM,35,72,77,87,74,73,64,67
André Luís,ST,30,72,74,73,67,76,68,70
Maximiliano Silvera,ST,27,72,71,76,68,67,73,70
Giuliano Simeone,ST,21,72,82,78,65,83,81,72
Daley Sinkgraven,LB,29,72,69,72,72,78,50,66
Hugo Siquet,RM,22,72,74,75,72,77,61,66
Ibrahim Sissoko,ST,28,72,77,76,64,68,83,61
Michał Skóraś,RM,24,72,86,77,70,84,57,61
Mile Škorić,CB,33,72,58,71,60,52,85,68
Steven Skrzybski,ST,31,72,77,83,68,77,58,73
Hrvoje Smolčić,CB,24,72,69,66,64,66,78,68
Serginho,CM,29,72,75,84,76,63,84,70
Son Jun Ho,CDM,32,72,77,90,73,64,72,72
Song Min Kyu,CAM,25,72,79,75,72,87,78,76
Mads Bech Sørensen,CB,25,72,57,67,67,49,80,73
Mario Soriano,CAM,22,72,76,60,73,76,72,64
Brenner,ST,24,72,78,63,68,75,55,72
Ali Sowe,ST,30,72,77,68,67,73,84,72
Djed Spence,RB,24,72,86,68,67,86,60,71
Andraž Šporar,ST,30,72,76,70,69,73,75,70
Marko Stamenić,CDM,22,72,68,75,73,65,72,68
Jarne Steuckers,CAM,22,72,69,81,74,74,58,67
Petar Stojanović,RB,28,72,79,85,68,79,66,62
Nikola Storm,LM,29,72,75,67,70,77,57,67
Mario Stroeykens,CAM,19,72,74,70,76,75,71,69
Róber Pier,CB,29,72,53,81,77,57,71,69
John Swift,CAM,29,72,59,62,73,65,68,65
Serhiy Sydorchuk,CDM,33,72,63,78,78,65,73,60
Issiaga Sylla,LB,30,72,68,85,70,69,68,68
Mamadou Sylla,ST,30,72,77,76,69,76,79,66
Abakar Sylla,CB,21,72,71,71,69,68,78,69
Japhet Tanganga,CB,25,72,75,57,68,64,81,69
Shogo Taniguchi,CB,33,72,70,82,74,53,72,70
Florian Tardieu,CDM,32,72,37,87,73,44,67,68
Chiquinho,LW,24,72,87,62,67,86,64,64
Charlie Taylor,LB,30,72,53,76,69,65,77,70
Casper Tengstedt,ST,24,72,83,74,68,82,75,73
Florian Thauvin,ST,31,72,58,67,74,71,67,69
Jan Thielmann,RM,22,72,78,77,69,84,58,73
Morten Thorsby,CM,28,72,50,83,73,62,73,74
Jón Dagur Þorsteinsson,LM,25,72,80,79,68,79,67,67
Marcel Tisserand,CB,31,72,70,80,71,75,82,73
Harry Toffolo,LB,29,72,71,79,68,69,69,68
Gastón Togni,LM,26,72,75,66,71,75,71,70
Jeremy Toljan,RB,30,72,79,70,71,79,62,68
Torrente,CB,23,72,60,56,72,56,74,66
El Bilal Touré,ST,22,72,73,57,70,69,70,70
Isaak Touré,CB,21,72,69,68,61,62,92,67
Abdoulaye Touré,CDM,30,72,46,68,70,40,86,70
Andros Townsend,CAM,33,72,64,38,73,68,62,72
Ismaël Traoré,CB,38,72,34,73,68,36,88,69
Nicolás Tripichio,RB,28,72,81,82,73,81,63,65
William Troost-Ekong,CB,31,72,63,65,52,51,84,69
Auston Trusty,CB,26,72,78,78,65,74,82,71
Jeppe Tverskov,CDM,31,72,47,83,70,52,78,70
Oleksandr Tymchyk,RB,27,72,89,70,71,85,51,66
Filip Uremović,CB,27,72,86,65,67,63,77,68
Agustín Urzi,LM,24,72,86,80,62,85,54,62
Can Uzun,CAM,18,72,65,75,70,76,65,70
Nicolás Valentini,CB,23,72,73,73,69,72,74,69
Alex Valera,ST,28,72,67,69,64,66,82,69
Emanuele Valeri,LB,25,72,66,71,70,69,39,72
Mattia Valoti,CM,31,72,55,74,77,56,62,68
Charles Vanhoutte,CM,25,72,53,84,74,62,74,75
Dante Vanzeir,ST,26,72,82,79,70,86,70,73
Juan Pablo Vargas,CB,29,72,51,60,67,50,88,69
Denis Vavro,CB,28,72,69,73,67,64,84,67
Pablo Vázquez,CB,29,72,68,48,70,66,80,68
Benjamin Verbič,LW,30,72,79,65,72,83,67,69
Nick Viergever,CB,35,72,74,69,70,66,75,73
João Teixeira,CAM,31,72,74,72,73,75,62,70
Lukáš Vorlický,CAM,22,72,58,61,77,57,60,61
Marios Vrousai,LM,26,72,75,70,70,77,67,65
Matěj Vydra,ST,32,72,74,61,66,78,67,72
Hauke Wahl,CB,30,72,62,77,74,45,78,70
Luca Waldschmidt,ST,28,72,69,67,73,77,64,73
Victor Wanyama,CDM,33,72,57,74,71,34,92,67
Marcelo Weigandt,RB,24,72,81,76,66,77,73,70
Noah Weißhaupt,LM,22,72,72,69,70,81,54,68
Tomáš Wiesner,RB,27,72,80,72,70,84,56,69
Mateusz Wieteska,CB,27,72,52,63,63,41,77,66
Chris Willock,RM,26,72,79,67,69,79,58,70
Cláudio Winck,RB,30,72,74,86,64,72,67,68
Wu Lei,RM,32,72,82,83,66,86,63,73
Miki Yamane,RB,30,72,82,82,74,71,73,70
Yoon Bit Garam,CM,34,72,67,82,75,66,64,70
Maya Yoshida,CB,36,72,60,68,67,51,77,70
Étienne Youté Kinkoué,CB,22,72,65,63,65,57,87,69
Alhassan Yusuf,CDM,24,72,75,90,73,78,67,72
Diego Zabala,RW,32,72,69,66,75,69,67,63
Francesco Zampano,LB,30,72,82,84,72,84,72,64
Luca Zanimacchia,RM,26,72,78,78,70,66,51,68
Alessandro Zanoli,RB,23,72,72,74,67,68,72,70
Giovanni Zaro,CB,30,72,57,68,63,35,85,70
Zarraga,CM,25,72,74,71,77,77,65,72
Arbër Zeneli,LW,29,72,69,61,73,70,53,69
Kevin Zenón,LM,23,72,83,91,71,83,53,62
Matthias Zimmermann,RB,32,72,66,75,71,73,66,70
Christoph Zimmermann,CB,31,72,55,65,60,31,85,67
Nermin Zolotić,CB,31,72,53,72,73,54,82,71
Szymon Żurkowski,CM,26,72,77,83,74,68,75,71
Ali Abdi,LB,30,71,93,90,69,83,71,70
Matthis Abline,ST,21,71,75,55,66,79,62,59
Kellyn Acosta,CM,29,71,74,88,74,74,70,73
Samuel Adegbenro,LM,28,71,90,78,62,91,75,65
Emanuel Aguilera,CB,35,71,54,73,62,54,85,70
Jean-Eudes Aholou,CM,30,71,54,61,72,59,80,72
José Aja,CB,31,71,36,66,54,40,90,52
Halil Akbunar,RM,30,71,77,76,68,82,45,65
Abdullah Al Khaibari,CDM,28,71,62,79,74,74,69,68
Gabriel Alanís,RM,30,71,80,82,67,70,74,72
Fernando Alarcón,CB,30,71,53,65,60,50,76,67
Bruno Langa,LB,26,71,82,75,58,82,61,75
Gonçalo Borges,LM,23,71,85,54,66,86,60,70
Sotiris Alexandropoulos,CDM,22,71,75,78,73,77,69,66
Jim Allevinah,RM,29,71,81,67,62,84,42,65
Javier Altamirano,CM,25,71,72,72,74,81,59,65
Altimira,CM,23,71,62,66,74,56,63,69
Juan Álvarez,RM,28,71,76,71,67,80,67,68
Carlos Álvarez,RM,21,71,68,64,71,71,58,70
Tiago Araújo,LM,23,71,83,71,70,85,71,64
Lucas Lima,LB,32,71,74,77,69,70,77,67
Branco Ampuero,CB,31,71,53,59,66,42,81,71
Mads Juel Andersen,CB,26,71,34,64,61,52,88,69
Andrés Andrade,CB,25,71,74,85,67,73,78,68
Franko Andrijašević,CAM,33,71,70,78,72,71,85,68
Santiago Arzamendia,LB,26,71,73,75,67,78,68,70
Barış Atik,LW,29,71,64,85,70,79,44,62
Rob Atkinson,CB,26,71,55,75,63,52,85,65
Luke Ayling,RB,33,71,53,76,69,53,73,69
Finn Azaz,CAM,24,71,75,75,72,72,65,67
Bae Jun Ho,LM,21,71,71,72,71,70,48,69
Javier Báez,CB,34,71,70,71,69,68,74,69
Adrián Balboa,ST,30,71,59,63,62,54,88,67
Danovis Banguero,LB,34,71,80,80,64,80,84,65
Mattia Bani,CB,30,71,46,61,63,45,76,71
Beni Baningime,CDM,26,71,48,80,71,48,63,70
Miguel Barbieri,CB,31,71,67,37,59,57,86,67
Italo,CM,27,71,68,85,73,73,85,73
Juan Barinaga,RB,23,71,71,75,65,71,70,64
Aymen Barkok,CAM,26,71,64,67,71,72,68,67
Ashley Barnes,ST,34,71,44,66,71,50,81,77
João Novais,CM,31,71,64,71,75,68,74,71
Enzo Barrenechea,CDM,23,71,50,86,79,65,63,64
Connor Barron,CM,22,71,71,90,73,66,67,70
Simone Bastoni,CM,27,71,63,72,74,64,64,73
Damian Batallini,RM,28,71,70,59,73,75,72,65
Dylan Batubinsika,CB,28,71,70,64,63,65,84,64
Dominik Baumgartner,CB,28,71,72,77,66,68,79,68
Finn Ole Becker,CM,24,71,64,77,77,75,51,71
Chris Bedia,ST,28,71,69,67,62,67,82,70
Amari'i Bell,CB,30,71,76,79,66,74,72,71
Mohamed Belloumi,RW,22,71,76,72,69,79,46,66
Carlos Benavídez,CDM,26,71,65,70,69,70,70,69
Gastón Benedetti,LB,23,71,73,82,69,71,52,70
Loris Benito,CB,32,71,66,85,65,65,77,70
Yassine Benzia,CAM,30,71,64,61,69,68,55,69
Robert Berić,ST,33,71,51,73,65,63,86,74
Antoine Bernede,CM,25,71,68,81,72,63,69,70
Nahir Besara,CAM,33,71,68,74,72,63,72,70
Matteo Bianchetti,CB,31,71,52,70,68,50,78,71
Mads Bidstrup,CM,23,71,72,85,75,67,72,69
Uran Bislimi,CM,24,71,69,80,72,70,67,68
Dimitri Bisoli,CM,30,71,72,83,71,71,62,70
Lautaro Blanco,LB,25,71,80,78,68,76,66,68
Aylton Boa Morte,RM,30,71,76,77,67,75,77,70
Daniel Bocanegra,CB,37,71,66,75,69,62,80,71
Paweł Bochniewicz,CB,28,71,65,74,64,33,84,64
Luciano Boggio,CM,25,71,72,79,73,72,59,68
Federico Bonazzoli,ST,27,71,63,53,67,68,67,70
Ezequiel Bonifacio,RB,30,71,71,74,70,74,69,70
Andreas Bouchalakis,CDM,31,71,68,72,73,44,77,65
Agustín Bouzat,CDM,30,71,84,91,69,84,62,68
Martin Boyle,RM,31,71,87,75,65,90,53,68
Flavien-Enzo Boyomo,CB,22,71,72,72,65,74,80,65
Umut Bozok,ST,27,71,76,70,73,74,66,71
Volodymyr Brazhko,CDM,22,71,64,73,72,67,70,69
Anthony Briançon,CB,29,71,39,71,67,55,87,65
Miguel Brizuela,CB,27,71,53,75,68,55,82,63
Ezequiel Bullaude,CAM,23,71,83,72,70,71,73,65
Cristian Buonaiuto,LM,31,71,75,72,70,76,53,68
Brandon Bye,RB,28,71,79,81,62,74,73,68
Yonathan Cabral,CB,32,71,51,66,69,33,87,67
Alejandro Camargo,CM,35,71,70,83,77,48,75,64
Omar Campos,LB,22,71,79,75,65,81,59,60
Gaspar Campos,LM,24,71,79,82,65,81,72,65
Fali Candé,CB,26,71,81,84,62,79,72,65
Reggie Cannon,RB,26,71,87,84,63,85,82,65
Manuel Capasso,CB,28,71,55,68,56,53,84,68
Pierrick Capelle,CDM,37,71,53,65,73,53,62,72
Marc Cardona,ST,29,71,78,81,70,80,66,71
Gonzalo Carneiro,ST,29,71,78,65,70,63,80,64
Adalberto Carrasquilla,CM,25,71,72,80,70,75,63,73
Cesare Casadei,CM,21,71,66,70,73,67,72,70
Eíran Cashin,CB,22,71,57,71,68,60,88,63
Josué Casimir,RM,22,71,84,71,68,81,68,70
Giuseppe Caso,LW,25,71,79,39,69,80,36,70
Alex Castro,LM,30,71,81,64,64,82,50,59
Alexis Castro,CM,29,71,74,69,72,80,69,73
Nélson Oliveira,ST,33,71,68,68,67,65,77,71
Maximiliano Caufriez,CB,27,71,57,68,66,54,77,72
Žan Celar,ST,25,71,73,74,62,76,77,59
Ondřej Čelůstka,CB,35,71,62,57,66,59,84,66
Álex Centelles,LB,25,71,75,85,67,72,69,71
Fabien Centonze,RB,28,71,71,75,69,71,72,58
Ricardo Mangas,LM,26,71,77,83,67,77,69,74
Timmy Chandler,RB,34,71,37,68,74,54,79,73
Yimmi Chará,LM,33,71,87,75,65,85,68,69
Fidel,LM,34,71,67,67,72,66,60,74
Youssef Chermiti,ST,20,71,67,61,69,66,79,72
Choi Jun,RB,25,71,83,87,69,73,69,71
Tahith Chong,CAM,24,71,78,69,72,75,59,69
Jacob Christensen,CDM,23,71,70,78,72,70,66,67
Víctor Chust,CB,24,71,70,54,76,66,72,67
Jordan Clark,CAM,30,71,67,74,74,69,70,71
